country,category_name,n_snapshots,avg_views,median_views,avg_like_rate,avg_comment_rate,avg_persistence
JP,Pets & Animals,830,54651.115662650605,25390.0,0.031695425098595124,0.004704675021017984,1.7409638554216869
RU,Music,1878,817001.8434504792,159957.0,0.06086849847883703,0.006678536813189584,2.711395101171459
RU,Science & Technology,1115,377807.5865470852,129557.0,0.07463256595036621,0.011678981273646657,2.2466367713004485
RU,Entertainment,5886,351772.11790689774,127169.5,0.048877056808620575,0.008144652140888671,2.6439007815154603
RU,Comedy,3032,332655.66688654356,137321.5,0.062336042560187245,0.008908070043678629,3.0728891820580473
RU,Autos & Vehicles,1569,241754.22498406627,120210.0,0.057372294954756736,0.008042592543946372,1.9024856596558317
RU,Gaming,1031,215045.5130940834,76892.0,0.07311544502898287,0.009725527632111946,2.4296799224054317
RU,Sports,1944,194578.97222222222,83036.5,0.03545924163691576,0.005001473825276038,1.999485596707819
RU,Howto & Style,1986,193483.18227593153,29464.0,0.06468731407374886,0.008887744679885795,2.3031218529707957
RU,Nonprofits & Activism,1522,186839.38830486202,32338.5,0.0463604600263639,0.011065188840889301,1.9185282522996059
RU,Film & Animation,3010,178034.51162790696,56072.0,0.03537227822017378,0.004691310719333955,2.63156146179402
RU,Shows,189,169603.5185185185,96219.0,0.024960547376493294,0.00480171408535369,2.2962962962962963
RU,People & Blogs,10244,151508.55974228817,38468.5,0.050338648692252075,0.00874128743496325,1.9929714955095665
RU,News & Politics,5353,137122.9962637773,58872.0,0.030096670378463197,0.008581800117473804,1.8051559872968428
RU,Pets & Animals,600,102535.375,26011.0,0.07783548589962369,0.013179300110663414,1.76
RU,Movies,1,100049.0,100049.0,0.017311517356495318,0.0019590400703655207,1.0
RU,Travel & Events,260,88044.33846153846,40985.0,0.06051985348116596,0.013181711570185701,1.2076923076923076
RU,Education,702,58316.18091168091,12543.0,0.06097079569009986,0.008842226555475764,1.4273504273504274
US,Music,6467,6204776.02304005,1434324.0,0.04756854178599437,0.0038612871944154457,11.658883562702954
US,Film & Animation,2343,3101917.3845497225,1274578.0,0.027413354328990253,0.0035638159930231517,10.56978233034571
US,Nonprofits & Activism,57,2963884.0701754387,73649.0,0.037903813867303335,0.007306097316573101,5.350877192982456
US,Gaming,816,2607597.7708333335,1488158.0,0.03732212935638972,0.0074659317900795386,12.083333333333334
US,Entertainment,9943,2067648.6263703108,733656.0,0.02853209002254097,0.003902852791295798,9.64648496429649
US,Sports,2172,2027262.3720073665,559352.0,0.015283067866545883,0.0026112989850630513,7.856353591160221
US,People & Blogs,3208,1530550.0822942643,598419.0,0.04180984523286315,0.004819997420186888,9.260598503740649
US,Comedy,3453,1480239.3831450911,976989.0,0.04387012502023637,0.005214291821408155,9.60729800173762
US,Science & Technology,2397,1449087.5064664164,582247.0,0.030623962097296124,0.00413821845105925,9.257822277847309
US,Autos & Vehicles,384,1355965.4088541667,406278.0,0.01690349807626725,0.0034902741591867747,6.729166666666667
US,Howto & Style,4142,982861.3882182521,502356.0,0.04498504011112661,0.005887660752225044,10.071463061323032
US,Shows,57,903527.3333333334,1155692.0,0.022140281318794523,0.003732459349896718,18.017543859649123
US,Travel & Events,401,855612.4912718205,494964.0,0.020802269304253232,0.003569348746352531,9.82793017456359
US,Pets & Animals,920,831143.4663043479,444501.5,0.03347130247477704,0.0040146369564110955,9.728260869565217
US,Education,1654,711444.9474002419,419288.5,0.037757840577222444,0.004506799031281018,8.905683192261185
US,News & Politics,2485,592792.951307847,244014.0,0.01269158157572336,0.0064186405677882094,7.279275653923541
